Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2014.1 382 -25.0 -18.2  13869.73  -5636.01  -5636.01  14971.11  21635.80    -46.2   -22.1
2014.1 382 -24.0 -17.2  14109.47  -5625.95  -5625.95  15189.75  21812.07    -45.9   -21.7
2014.1 381 -23.0 -16.3  14371.36  -5601.55  -5601.55  15424.43  21996.05    -45.5   -21.3
2014.1 381 -22.1 -15.3  14655.76  -5562.68  -5562.68  15675.93  22186.56    -45.0   -20.8
2014.1 380 -21.1 -14.4  14962.87  -5509.33  -5509.33  15944.91  22382.38    -44.6   -20.2
2014.1 380 -20.1 -13.5  15292.64  -5441.57  -5441.57  16231.93  22582.25    -44.0   -19.6
2014.1 379 -19.1 -12.5  15644.80  -5359.59  -5359.59  16537.38  22784.90    -43.5   -18.9
2014.1 379 -18.1 -11.6  16018.81  -5263.71  -5263.71  16861.46  22989.07    -42.8   -18.2
2014.1 379 -17.2 -10.8  16413.89  -5154.36  -5154.36  17204.16  23193.54    -42.1   -17.4
2014.1 378 -16.2  -9.9  16828.99  -5032.10  -5032.10  17565.22  23397.18    -41.3   -16.6
2014.1 378 -15.1  -9.0  17262.83  -4897.61  -4897.61  17944.13  23598.93    -40.5   -15.8
2014.1 378 -14.1  -8.1  17713.86  -4751.68  -4751.68  18340.10  23797.87    -39.6   -15.0
2014.1 377 -13.1  -7.3  18180.36  -4595.20  -4595.20  18752.10  23993.21    -38.6   -14.2
2014.1 377 -12.1  -6.4  18660.37  -4429.14  -4429.14  19178.81  24184.31    -37.5   -13.4
2014.1 377 -11.1  -5.6  19151.79  -4254.56  -4254.56  19618.68  24370.72    -36.4   -12.5
2014.1 376 -10.1  -4.8  19652.38  -4072.56  -4072.56  20069.92  24552.17    -35.2   -11.7
2014.1 376  -9.1  -3.9  20159.78  -3884.28  -3884.28  20530.57  24728.57    -33.9   -10.9
2014.1 376  -8.0  -3.1  20671.55  -3690.88  -3690.88  20998.47  24900.01    -32.5   -10.1
2014.1 375  -7.0  -2.3  21185.23  -3493.50  -3493.50  21471.34  25066.80    -31.1    -9.4
2014.1 375  -6.0  -1.5  21698.31  -3293.28  -3293.28  21946.81  25229.39    -29.6    -8.6
2014.1 375  -5.0  -0.6  22208.32  -3091.29  -3091.29  22422.43  25388.42    -28.0    -7.9
2014.1 374  -3.9   0.2  22712.82  -2888.58  -2888.58  22895.77  25544.68    -26.3    -7.2
2014.1 374  -2.9   1.0  23209.44  -2686.08  -2686.08  23364.36  25699.08    -24.6    -6.6
2014.1 374  -1.9   1.8  23695.89  -2484.68  -2484.68  23825.80  25852.67    -22.8    -6.0
2014.1 374  -0.9   2.6  24169.96  -2285.14  -2285.14  24277.75  26006.58    -21.0    -5.4
2014.1 374   0.2   3.4  24629.59  -2088.15  -2088.15  24717.95  26162.01    -19.1    -4.8
2014.1 373   1.2   4.2  25072.81  -1894.28  -1894.28  25144.27  26320.22    -17.2    -4.3
2014.1 373   2.2   5.0  25497.79  -1704.00  -1704.00  25554.66  26482.49    -15.2    -3.8
2014.1 373   3.3   5.8  25902.81  -1517.70  -1517.70  25947.23  26650.13    -13.2    -3.4
2014.1 373   4.3   6.7  26286.28  -1335.67  -1335.67  26320.19  26824.41    -11.1    -2.9
2014.1 373   5.3   7.5  26646.73  -1158.14  -1158.14  26671.88  27006.59     -9.0    -2.5
2014.1 373   6.3   8.3  26982.80   -985.25   -985.25  27000.78  27197.88     -6.9    -2.1
2014.1 373   7.4   9.1  27293.23   -817.13   -817.13  27305.46  27399.43     -4.7    -1.7
2014.1 372   8.4   9.9  27576.86   -653.86   -653.86  27584.61  27612.34     -2.6    -1.4
2014.1 372   9.4  10.8  27832.61   -495.49   -495.49  27837.02  27837.60     -0.4    -1.0
2014.1 372  10.4  11.6  28059.49   -342.09   -342.09  28061.58  28076.13      1.8    -0.7
2014.1 372  11.5  12.4  28256.57   -193.72   -193.72  28257.24  28328.73      4.1    -0.4
2014.1 372  12.5  13.3  28423.00    -50.48    -50.48  28423.04  28596.10      6.3    -0.1
2014.1 372  13.5  14.1  28557.98     87.52     87.52  28558.12  28878.81      8.5     0.2
2014.1 372  14.5  15.0  28660.82    220.14    220.14  28661.66  29177.32     10.8     0.4
2014.1 372  15.5  15.9  28730.86    347.21    347.21  28732.96  29491.93     13.0     0.7
2014.1 372  16.5  16.7  28767.55    468.53    468.53  28771.37  29822.80     15.3     0.9
