Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2013.9 406  27.3 -158.7  24279.35   6078.41   6078.41  25028.66  31677.12    -37.8    14.1
2013.9 406  28.2 -157.8  24026.32   6156.40   6156.40  24802.52  31892.07    -38.9    14.4
2013.9 406  29.1 -156.8  23765.83   6235.26   6235.26  24570.17  32116.14    -40.1    14.7
2013.9 406  30.1 -155.9  23497.92   6315.04   6315.04  24331.71  32349.91    -41.2    15.0
2013.9 406  31.0 -154.9  23222.58   6395.85   6395.85  24087.24  32593.97    -42.4    15.4
2013.9 406  31.9 -153.9  22939.67   6477.90   6477.90  23836.77  32848.92    -43.5    15.8
2013.9 406  32.7 -152.8  22649.01   6561.47   6561.47  23580.30  33115.33    -44.6    16.2
2013.9 406  33.6 -151.8  22350.31   6646.89   6646.89  23317.75  33393.75    -45.7    16.6
2013.9 407  34.5 -150.7  22043.21   6734.58   6734.58  23049.03  33684.70    -46.8    17.0
2013.9 407  35.3 -149.6  21727.30   6825.06   6825.06  22774.04  33988.64    -47.9    17.4
2013.9 407  36.2 -148.4  21402.06   6918.88   6918.88  22492.64  34305.96    -49.0    17.9
2013.9 407  37.0 -147.3  21066.96   7016.67   7016.67  22204.74  34636.99    -50.1    18.4
2013.9 407  37.8 -146.1  20721.44   7119.11   7119.11  21910.27  34981.99    -51.2    19.0
2013.9 407  38.6 -144.9  20364.90   7226.92   7226.92  21609.20  35341.11    -52.3    19.5
2013.9 407  39.4 -143.6  19996.77   7340.83   7340.83  21301.61  35714.42    -53.4    20.2
2013.9 407  40.2 -142.4  19616.48   7461.57   7461.57  20987.64  36101.91    -54.5    20.8
2013.9 407  40.9 -141.0  19223.50   7589.85   7589.85  20667.57  36503.48    -55.5    21.5
2013.9 408  41.7 -139.7  18817.32   7726.33   7726.33  20341.77  36918.92    -56.6    22.3
2013.9 408  42.4 -138.3  18397.48   7871.55   7871.55  20010.71  37347.95    -57.6    23.2
2013.9 408  43.1 -136.9  17963.51   8025.99   8025.99  19674.96  37790.21    -58.6    24.1
2013.9 408  43.8 -135.5  17514.92   8189.95   8189.95  19335.14  38245.20    -59.6    25.1
2013.9 408  44.4 -134.0  17051.16   8363.55   8363.55  18991.87  38712.34    -60.6    26.1
2013.9 408  45.1 -132.5  16571.57   8546.73   8546.73  18645.74  39190.89    -61.6    27.3
2013.9 408  45.7 -131.0  16075.29   8739.20   8739.20  18297.23  39679.90    -62.5    28.5
2013.9 408  46.3 -129.4  15561.22   8940.44   8940.44  17946.67  40178.17    -63.5    29.9
2013.9 408  46.8 -127.8  15027.95   9149.65   9149.65  17594.19  40684.18    -64.4    31.3
2013.9 408  47.4 -126.2  14473.73   9365.84   9365.84  17239.72  41195.96    -65.3    32.9
2013.9 408  47.9 -124.5  13896.45   9587.74   9587.74  16883.01  41711.01    -66.1    34.6
2013.9 409  48.4 -122.8  13293.66   9813.90   9813.90  16523.74  42226.21    -67.0    36.4
2013.9 409  48.8 -121.0  12662.65  10042.68  10042.68  16161.63  42737.68    -67.8    38.4
2013.9 409  49.3 -119.3  12000.60  10272.34  10272.34  15796.69  43240.77    -68.6    40.6
2013.9 409  49.7 -117.5  11304.77  10501.04  10501.04  15429.50  43729.98    -69.3    42.9
2013.9 409  50.0 -115.6  10572.72  10726.94  10726.94  15061.53  44199.01    -70.1    45.4
2013.9 409  50.4 -113.8   9802.66  10948.26  10948.26  14695.46  44640.86    -70.8    48.2
2013.9 409  50.7 -111.9   8993.66  11163.33  11163.33  14335.48  45047.96    -71.4    51.1
2013.9 409  50.9 -109.9   8146.03  11370.64  11370.64  13987.47  45412.44    -72.1    54.4
2013.9 409  51.2 -108.0   7261.50  11568.87  11568.87  13659.00  45726.41    -72.6    57.9
2013.9 409  51.4 -106.0   6343.40  11756.94  11756.94  13359.05  45982.30    -73.1    61.7
2013.9 409  51.5 -104.1   5396.69  11933.94  11933.94  13097.45  46173.24    -73.5    65.7
